0	118.1033	24.4729	0	0	230	0
1	118.1035	24.4699	25	0	97	4.2
2	118.0983	24.4765	27	0	142	4.5
3	118.1048	24.4738	-9	0	60	1.5
4	118.108	24.4748	21	0	42	3.5
5	118.1006	24.4699	-10	0	134	1.7
6	118.1074	24.471	-5	0	159	0.8
7	118.1011	24.4751	21	0	107	3.5
8	118.1043	24.4753	6	0	142	1
9	118.0989	24.4757	8	0	60	1.3
10	118.101	24.4722	1	0	152	0.2
11	118.1093	24.4745	30	0	192	5
12	118.1067	24.4735	-4	0	153	0.7
13	118.0986	24.4706	12	0	42	2
14	118.1013	24.4734	3	0	210	0.5
15	118.1001	24.4778	14	0	54	2.3
16	118.1054	24.4735	-18	0	85	3
17	118.0982	24.4746	7	0	87	1.2
18	118.1053	24.4768	25	0	150	4.2
19	118.1052	24.4704	3	0	86	0.5
20	118.1067	24.4764	-2	0	83	0.3
21	118.1021	24.471	2	0	44	0.3
22	118.1048	24.4731	-1	0	41	0.2
23	118.1051	24.4724	10	0	44	1.7
24	118.1049	24.47	3	0	134	0.5
25	118.0989	24.4717	23	0	93	3.8
26	118.1017	24.4757	14	0	91	2.3
27	118.1088	24.4711	-10	0	71	1.7
28	118.1086	24.4734	18	0	189	3
29	118.1078	24.4774	6	0	146	1
30	118.103	24.4686	15	0	47	2.5
31	118.1029	24.4739	-1	0	51	0.2
32	118.1022	24.47	1	0	172	0.2
33	118.1056	24.4711	22	0	61	3.7
34	118.0994	24.4696	15	0	107	2.5
35	118.1017	24.4693	0	0	105	0
36	118.1048	24.4703	-7	0	65	1.2
37	118.101	24.4743	19	0	47	3.2
38	118.1	24.4719	-3	0	127	0.5
39	118.1036	24.4762	-13	0	151	2.2
40	118.1041	24.4709	6	0	60	1
41	118.1006	24.4757	3	0	171	0.5
42	118.0982	24.4686	7	0	95	1.2
43	118.1041	24.4701	-2	0	107	0.3
44	118.0994	24.4719	12	0	79	2
45	118.1027	24.4696	16	0	105	2.7
46	118.1091	24.4712	-2	0	104	0.3
47	118.1092	24.4717	9	0	118	1.5
48	118.1045	24.4746	-14	0	126	2.3
49	118.0986	24.4701	-1	0	78	0.2
50	118.1086	24.4773	8	0	144	1.3
51	118.1068	24.4708	-2	0	182	0.3
52	118.1021	24.476	13	0	163	2.2
53	118.1002	24.4767	14	0	136	2.3
54	118.1015	24.4728	2	0	86	0.3
55	118.108	24.4708	-2	0	167	0.3
56	118.0998	24.4691	18	0	83	3
57	118.1073	24.4759	25	0	88	4.2
58	118.1018	24.4721	16	0	127	2.7
59	118.1004	24.4692	-1	0	106	0.2
60	118.1077	24.4752	9	0	169	1.5
61	118.1009	24.4687	4	0	72	0.7
62	118.1005	24.475	-5	0	62	0.8
63	118.1019	24.4773	16	0	28	2.7
64	118.1081	24.4745	28	0	192	4.7
65	118.0991	24.4682	3	0	109	0.5
66	118.0989	24.4699	26	0	68	4.3
67	118.0991	24.4748	3	0	81	0.5
68	118.1001	24.4761	29	0	159	4.8
69	118.1055	24.4765	1	0	140	0.2
70	118.0987	24.4687	-1	0	93	0.2
71	118.1084	24.474	18	0	79	3
72	118.1054	24.4718	17	0	73	2.8
73	118.1013	24.4696	19	0	98	3.2
74	118.106	24.4736	16	0	49	2.7
75	118.1089	24.4732	8	0	102	1.3
76	118.1073	24.4739	-9	0	61	1.5
77	118.1043	24.4762	-6	0	175	1
78	118.1021	24.4766	10	0	77	1.7
